%time,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1704804082698698361,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1704804082893023883,1.86229692158,-0.0724203566139,0.00455170921859,-0.000249482585043,0.000514676841216,0.000107997202408,0.999999830601
1704804082938746623,3.75980331172,-0.110873480673,0.0305558941238,-0.000122881983594,0.00158968312026,-0.000204449676169,0.999998708003
1704804083019521365,5.63244405508,-0.170406698966,0.00563524399772,2.16050545963e-06,0.000494262416985,-0.000340435298811,0.999999819902
1704804083113097416,7.50846879093,-0.250270071815,0.072484590452,-0.000228565245471,0.000734764127136,-9.52706004221e-05,0.999999699402
1704804083213346624,9.40011452377,-0.316053441789,0.0759480911654,-0.000371743559235,-0.000599573231691,-0.000154619921471,0.999999739206
1704804083302875036,11.279664068,-0.382814952851,0.0640751054206,-0.000668604586487,-0.00183147674839,-0.000134101888865,0.999998090337
1704804083404286355,13.1656958158,-0.458012974731,0.0878060615677,-0.000456479768222,-0.00205440299435,0.000140495279118,0.999997775655
1704804083497984573,15.0199803686,-0.507215828388,0.0542771492212,-0.000827747333463,-0.00289550453706,-0.000125295127064,0.999995457584
1704804083597559872,16.9053963486,-0.569530124052,0.0364495500765,-0.000850426131454,-0.00298848624922,-8.58523123252e-05,0.999995169166
1704804083698740861,18.7778565424,-0.638321455544,0.0258811077436,-0.00146096396798,-0.00285973011492,8.51801537969e-05,0.999994840123
1704804083796462720,20.6356975727,-0.693616733209,0.0244441961549,-0.000870818679326,-0.00262822803294,4.50583807355e-06,0.999996167029
1704804083903393761,22.5053774386,-0.750200436316,0.0676305440941,-0.000848538967382,-0.00222716281358,-5.2611635831e-05,0.999997158476
1704804083998142279,24.3905556277,-0.822166861456,0.0452622296311,-0.000822365022029,-0.00336106517398,0.000147529692217,0.999994002578
1704804084097727908,26.2674555337,-0.872881838413,0.0431905562336,-0.000588891062272,-0.00386408564825,1.80852874828e-05,0.999992360832
1704804084198040183,28.1595045451,-0.923287268649,0.0930886030715,-0.000664033627768,-0.00439478193161,-6.31864189936e-05,0.99999012043
1704804084300171002,30.0231584816,-1.01235007867,0.134002530477,-0.000601530045459,-0.00472683911492,0.000398978515326,0.99998856792
1704804084403705410,31.8993832861,-1.0548256587,0.134619556755,-0.000478643265841,-0.00508877062148,0.000412540761209,0.999986852476
1704804084497638332,33.7808650883,-1.10608511582,0.154769967781,-0.000746529172887,-0.00500931252533,0.000418305753053,0.999987087168
1704804084599875043,35.6523781436,-1.15139914827,0.143890162684,-0.000488635124875,-0.00503481857029,0.00053232905868,0.999987064148
1704804084708891758,37.5369657198,-1.20742075836,0.182931675462,-0.000782777040816,-0.00384119478792,0.00073136950178,0.999992048759
1704804084827916582,39.4028645398,-1.25872342105,0.1865927918,-0.000546834970297,-0.00459250400699,0.000753794063942,0.999989020776
1704804084903820633,41.2859852743,-1.33403482983,0.198009778889,-0.000535265597353,-0.00473534133083,0.00121301883522,0.999987909236
1704804085002620955,43.1428896692,-1.39754738207,0.232619625665,-0.000447354107197,-0.00461220877692,0.00134670046525,0.999988356833
1704804085104165429,44.9777457297,-1.44434794531,0.256819400125,-0.00057787655874,-0.00464381626627,0.00136652160047,0.999988116753
1704804085203532431,46.8594864658,-1.50628671374,0.215059955476,-0.000173041629051,-0.00553328639494,0.00175722140555,0.999983132343
1704804085304346991,48.7147195151,-1.56527030904,0.253918139419,-0.000784694978911,-0.00454804290733,0.00191777566611,0.99998751077
1704804085410438387,50.5927205449,-1.6081517029,0.277659489861,-0.00139821683079,-0.00429336018018,0.00202058183055,0.999987764574
1704804085504838173,52.4665887201,-1.66113348227,0.305402261757,-0.000988404901759,-0.00492167455293,0.00211216200243,0.999985169364
1704804085605789088,54.3498379271,-1.70932735366,0.263703420608,-0.000941728195413,-0.00741890221894,0.00225287674189,0.999969498327
1704804085715718157,56.2230633004,-1.7438187297,0.387050938449,-0.000982826167667,-0.0075522001173,0.00180332893543,0.999969372696
